OBJECTID,ain,SiteAddress,usecode,usetype,usedescription,Vacant_Use,unitstotal,MaxYear,SupDist2021,Submarket_Area,plng_area,Comm_Name,Plan_Name,LUP1,PctLUPArea1,LUP2,PctLUPArea2,LUP3,PctLUPArea3,LUP_Description,LUP_MinDens,LUP_MaxDens,P_LUP_FINAL,P_LUP_Description,P_LUP_FINAL_MinDens,P_LUP_FINAL_MaxDens,Zoning1,PctZngArea1,Zoning2,PctZngArea2,Zoning3,PctZngArea3,Zoning_Description,P_Zoning_FINAL,P_Zoning_Description,Acres,Max_Units_Allowed_Rounded,RHNA_Eligible,Capacity_Inc_Very_Low,Capacity_Inc_Low,Capacity_Inc_Mod,Capacity_Inc_Abv_Mod,Realistic_Capacity,Income_Categories,Consolidation_ID,Consolidation_Adj_APNs,Shape__Area,Shape__Length
797,6008039013,6106 COMPTON AVE LOS ANGELES CA 90001,0200,Residential,Two Units,Non-Vacant,1,1921,2,South Los Angeles,Metro Planning Area,FLORENCE - FIRESTONE,Florence-Firestone Community Plan,CG,100,,,,,CG - General Commercial (0 - 50 du/net ac),0,50 du/net ac,MU,MU - Mixed Use (50 - 150 du/net ac),50,150,C-3,100,,,,,C-3 - General Commercial,MXD,MXD - Mixed Use Development,0.18494328,28,Yes,11,0,0,11,22,VL/AM,,,8056.09765625,388.731526071073
798,6008040001,1508 E 62ND ST LOS ANGELES CA 90001,1210,Commercial,Store Combination,Non-Vacant,4,1922,2,South Los Angeles,Metro Planning Area,FLORENCE - FIRESTONE,Florence-Firestone Community Plan,CG,100,,,,,CG - General Commercial (0 - 50 du/net ac),0,50 du/net ac,MU,MU - Mixed Use (50 - 150 du/net ac),50,150,C-3,100,,,,,C-3 - General Commercial,MXD,MXD - Mixed Use Development,0.16186265,25,Yes,9,0,0,8,17,VL/AM,EB,"6008040001, 6008040002, 6008040003",7050.7080078125,374.7715378954
799,6008040002,6204 COMPTON AVE LOS ANGELES CA 90001,1100,Commercial,Stores,Non-Vacant,0,1936,2,South Los Angeles,Metro Planning Area,FLORENCE - FIRESTONE,Florence-Firestone Community Plan,CG,100,,,,,CG - General Commercial (0 - 50 du/net ac),0,50 du/net ac,MU,MU - Mixed Use (50 - 150 du/net ac),50,150,C-3,100,,,,,C-3 - General Commercial,MXD,MXD - Mixed Use Development,0.14842329,23,Yes,10,0,0,9,19,VL/AM,EB,"6008040001, 6008040002, 6008040003",6465.29296875,366.759838273863
800,6008040003,6210 COMPTON AVE LOS ANGELES CA 90001,1210,Commercial,Store Combination,Non-Vacant,1,1921,2,South Los Angeles,Metro Planning Area,FLORENCE - FIRESTONE,Florence-Firestone Community Plan,CG,100,,,,,CG - General Commercial (0 - 50 du/net ac),0,50 du/net ac,MU,MU - Mixed Use (50 - 150 du/net ac),50,150,C-3,100,,,,,C-3 - General Commercial,MXD,MXD - Mixed Use Development,0.15541013,24,Yes,10,0,0,9,19,VL/AM,EB,"6008040001, 6008040002, 6008040003",6769.63671875,370.550055149683
801,6008040007,Compton Ave & E 62nd St 90001,2610,Commercial,"Auto, Recreation EQPT, Construction EQPT, Sales & Service",Non-Vacant,4,2016,2,South Los Angeles,Metro Planning Area,FLORENCE - FIRESTONE,Florence-Firestone Community Plan,CG,100,,,,,CG - General Commercial (0 - 50 du/net ac),0,50 du/net ac,MU,MU - Mixed Use (50 - 150 du/net ac),50,150,C-3,100,,,,,C-3 - General Commercial,MXD,MXD - Mixed Use Development,0.15691938,24,Yes,0,0,16,0,16,M,CG,"6008040007, 6008040008",6835.3818359375,370.275096021625
802,6008040008,6304 COMPTON AVE LOS ANGELES CA 90001,1210,Commercial,Store Combination,Non-Vacant,4,1924,2,South Los Angeles,Metro Planning Area,FLORENCE - FIRESTONE,Florence-Firestone Community Plan,CG,100,,,,,CG - General Commercial (0 - 50 du/net ac),0,50 du/net ac,MU,MU - Mixed Use (50 - 150 du/net ac),50,150,C-3,100,,,,,C-3 - General Commercial,MXD,MXD - Mixed Use Development,0.15023433,23,Yes,8,0,0,8,16,VL/AM,CG,"6008040007, 6008040008",6544.181640625,366.002419936848
803,6008040009,6310 COMPTON AVE LOS ANGELES CA 90001,1010,Commercial,Commercial,Non-Vacant,0,1945,2,South Los Angeles,Metro Planning Area,FLORENCE - FIRESTONE,Florence-Firestone Community Plan,CG,100,,,,,CG - General Commercial (0 - 50 du/net ac),0,50 du/net ac,MU,MU - Mixed Use (50 - 150 du/net ac),50,150,C-3,100,,,,,C-3 - General Commercial,MXD,MXD - Mixed Use Development,0.15382066,24,Yes,10,0,0,10,20,VL/AM,EC,"6008040009, 6008040010",6700.400390625,368.260325568767
804,6008040010,6318 COMPTON AVE LOS ANGELES CA 90001,1100,Commercial,Stores,Non-Vacant,0,1927,2,South Los Angeles,Metro Planning Area,FLORENCE - FIRESTONE,Florence-Firestone Community Plan,CG,100,,,,,CG - General Commercial (0 - 50 du/net ac),0,50 du/net ac,MU,MU - Mixed Use (50 - 150 du/net ac),50,150,C-3,100,,,,,C-3 - General Commercial,MXD,MXD - Mixed Use Development,0.16130025,25,Yes,10,0,0,10,20,VL/AM,EC,"6008040009, 6008040010",7026.2109375,373.022012719854
805,6008040025,6218 COMPTON AVE LOS ANGELES CA 90001,0500,Residential,Five or more apartments,Non-Vacant,0,0,2,South Los Angeles,Metro Planning Area,FLORENCE - FIRESTONE,Florence-Firestone Community Plan,CG,100,,,,,CG - General Commercial (0 - 50 du/net ac),0,50 du/net ac,MU,MU - Mixed Use (50 - 150 du/net ac),50,150,C-3,100,,,,,C-3 - General Commercial,MXD,MXD - Mixed Use Development,0.45291287,68,Yes,28,27,0,0,55,VL/L,,,19728.8056640625,563.308802805773
806,6010001004,6428 S CENTRAL AVE LOS ANGELES CA 90001,1010,Commercial,Commercial,Non-Vacant,0,1948,2,South Los Angeles,Metro Planning Area,FLORENCE - FIRESTONE,Florence-Firestone Community Plan,CG,100,,,,,CG - General Commercial (0 - 50 du/net ac),0,50 du/net ac,MU,MU - Mixed Use (50 - 150 du/net ac),50,150,C-3,100,,,,,C-3 - General Commercial,MXD,MXD - Mixed Use Development,0.09268943,14,Yes,0,0,12,0,12,M,ED,"6010001004, 6010001005",4037.5361328125,282.261612070432
807,6010001005,6434 S CENTRAL AVE LOS ANGELES CA 90001,2600,Commercial,"Auto, Recreation EQPT, Construction EQPT, Sales & Service",Non-Vacant,0,1927,2,South Los Angeles,Metro Planning Area,FLORENCE - FIRESTONE,Florence-Firestone Community Plan,CG,100,,,,,CG - General Commercial (0 - 50 du/net ac),0,50 du/net ac,MU,MU - Mixed Use (50 - 150 du/net ac),50,150,C-3,100,,,,,C-3 - General Commercial,MXD,MXD - Mixed Use Development,0.09238244,14,Yes,0,0,12,0,12,M,ED,"6010001004, 6010001005",4024.162109375,281.991600516527
808,6010001031,6412 S CENTRAL AVE LOS ANGELES CA 90001,1210,Commercial,Store Combination,Non-Vacant,0,1923,2,South Los Angeles,Metro Planning Area,FLORENCE - FIRESTONE,Florence-Firestone Community Plan,CG,100,,,,,CG - General Commercial (0 - 50 du/net ac),0,50 du/net ac,MU,MU - Mixed Use (50 - 150 du/net ac),50,150,C-3,100,,,,,C-3 - General Commercial,MXD,MXD - Mixed Use Development,0.27877626,42,Yes,17,17,0,0,34,VL/L,,,12143.447265625,442.274730562708
809,6010003031,E 66th St & S Central Ave 90001,3900,Industrial,Open Storage,Non-Vacant,0,0,2,South Los Angeles,Metro Planning Area,FLORENCE - FIRESTONE,Florence-Firestone Community Plan,CG,100,,,,,CG - General Commercial (0 - 50 du/net ac),0,50 du/net ac,MU,MU - Mixed Use (50 - 150 du/net ac),50,150,C-3,100,,,,,C-3 - General Commercial,MXD,MXD - Mixed Use Development,0.18584495,28,Yes,12,0,0,11,23,VL/AM,,,8095.373046875,362.012302613899
810,6010005003,6606 S CENTRAL AVE LOS ANGELES CA 90001,2100,Commercial,"Restaurants, Cocktail Lounges",Non-Vacant,1,1930,2,South Los Angeles,Metro Planning Area,FLORENCE - FIRESTONE,Florence-Firestone Community Plan,CG,100,,,,,CG - General Commercial (0 - 50 du/net ac),0,50 du/net ac,MU,MU - Mixed Use (50 - 150 du/net ac),50,150,C-3,100,,,,,C-3 - General Commercial,MXD,MXD - Mixed Use Development,0.16199228,25,Yes,10,0,0,10,20,VL/AM,,,7056.353515625,346.017143914242
811,6010005005,6622 S CENTRAL AVE LOS ANGELES CA 90001,3100,Industrial,Lgt Manf.Sm. EQPT. Manuf Sm.Shps Instr.Manuf. Prnt Plnts,Non-Vacant,1,1930,2,South Los Angeles,Metro Planning Area,FLORENCE - FIRESTONE,Florence-Firestone Community Plan,CG,100,,,,,CG - General Commercial (0 - 50 du/net ac),0,50 du/net ac,MU,MU - Mixed Use (50 - 150 du/net ac),50,150,C-3,100,,,,,C-3 - General Commercial,MXD,MXD - Mixed Use Development,0.08826026,14,Yes,0,0,11,0,11,M,EE,"6010005005, 6010005032",3844.603515625,269.548141485052
812,6010005032,6620 S CENTRAL AVE LOS ANGELES CA 90001,1100,Commercial,Stores,Non-Vacant,0,1991,2,South Los Angeles,Metro Planning Area,FLORENCE - FIRESTONE,Florence-Firestone Community Plan,CG,100,,,,,CG - General Commercial (0 - 50 du/net ac),0,50 du/net ac,MU,MU - Mixed Use (50 - 150 du/net ac),50,150,C-3,100,,,,,C-3 - General Commercial,MXD,MXD - Mixed Use Development,0.1683478,26,Yes,11,0,0,10,21,VL/AM,EE,"6010005005, 6010005032",7333.201171875,343.011787953087
813,6010007005,6724 S CENTRAL AVE LOS ANGELES CA 90001,1210,Commercial,Store Combination,Non-Vacant,0,1929,2,South Los Angeles,Metro Planning Area,FLORENCE - FIRESTONE,Florence-Firestone Community Plan,CG,100,,,,,CG - General Commercial (0 - 50 du/net ac),0,50 du/net ac,MU,MU - Mixed Use (50 - 150 du/net ac),50,150,C-3,100,,,,,C-3 - General Commercial,MXD,MXD - Mixed Use Development,0.213109,32,Yes,13,0,0,13,26,VL/AM,,,9282.9912109375,392.034026924849
814,6010007028,6700 S CENTRAL AVE LOS ANGELES CA 90001,1100,Commercial,Stores,Non-Vacant,2,1927,2,South Los Angeles,Metro Planning Area,FLORENCE - FIRESTONE,Florence-Firestone Community Plan,CG,100,,,,,CG - General Commercial (0 - 50 du/net ac),0,50 du/net ac,MU,MU - Mixed Use (50 - 150 du/net ac),50,150,C-3,100,,,,,C-3 - General Commercial,MXD,MXD - Mixed Use Development,0.21509188,33,Yes,13,0,0,12,25,VL/AM,,,9369.3662109375,393.513780458665
815,6010009001,6800 S CENTRAL AVE LOS ANGELES CA 90001,1210,Commercial,Store Combination,Non-Vacant,0,1923,2,South Los Angeles,Metro Planning Area,FLORENCE - FIRESTONE,Florence-Firestone Community Plan,CG,100,,,,,CG - General Commercial (0 - 50 du/net ac),0,50 du/net ac,MU,MU - Mixed Use (50 - 150 du/net ac),50,150,C-3,100,,,,,C-3 - General Commercial,MXD,MXD - Mixed Use Development,0.12330206,19,Yes,0,0,16,0,16,M,AU,"6010009001, 6010009002, 6010009003",5371.0166015625,325.514878696406
816,6010009002,6804 S CENTRAL AVE LOS ANGELES CA 90001,1210,Commercial,Store Combination,Non-Vacant,0,1923,2,South Los Angeles,Metro Planning Area,FLORENCE - FIRESTONE,Florence-Firestone Community Plan,CG,100,,,,,CG - General Commercial (0 - 50 du/net ac),0,50 du/net ac,MU,MU - Mixed Use (50 - 150 du/net ac),50,150,C-3,100,,,,,C-3 - General Commercial,MXD,MXD - Mixed Use Development,0.12127843,19,Yes,0,0,16,0,16,M,AU,"6010009001, 6010009002, 6010009003",5282.8681640625,324.005119987922
817,6010009003,6812 S CENTRAL AVE LOS ANGELES CA 90001,100V,Commercial,Commercial,Vacant,0,0,2,South Los Angeles,Metro Planning Area,FLORENCE - FIRESTONE,Florence-Firestone Community Plan,CG,100,,,,,CG - General Commercial (0 - 50 du/net ac),0,50 du/net ac,MU,MU - Mixed Use (50 - 150 du/net ac),50,150,C-3,100,,,,,C-3 - General Commercial,MXD,MXD - Mixed Use Development,0.11793658,18,Yes,0,0,15,0,15,M,AU,"6010009001, 6010009002, 6010009003",5137.2958984375,321.505081904157
818,6010009004,6816 S CENTRAL AVE LOS ANGELES CA 90001,1100,Commercial,Stores,Non-Vacant,0,1928,2,South Los Angeles,Metro Planning Area,FLORENCE - FIRESTONE,Florence-Firestone Community Plan,CG,100,,,,,CG - General Commercial (0 - 50 du/net ac),0,50 du/net ac,MU,MU - Mixed Use (50 - 150 du/net ac),50,150,C-3,100,,,,,C-3 - General Commercial,MXD,MXD - Mixed Use Development,0.11649265,18,Yes,0,0,15,0,15,M,,,5074.4013671875,320.748082155142
819,6010009005,E 69th St & S Central Ave 90001,100V,Commercial,Commercial,Vacant,0,0,2,South Los Angeles,Metro Planning Area,FLORENCE - FIRESTONE,Florence-Firestone Community Plan,CG,100,,,,,CG - General Commercial (0 - 50 du/net ac),0,50 du/net ac,MU,MU - Mixed Use (50 - 150 du/net ac),50,150,C-3,100,,,,,C-3 - General Commercial,MXD,MXD - Mixed Use Development,0.07554457,12,Yes,0,0,10,0,10,M,EF,"6010009005, 6010009006",3290.708984375,290.25569798734
820,6010009006,6828 S CENTRAL AVE LOS ANGELES CA 90001,1100,Commercial,Stores,Non-Vacant,1,1957,2,South Los Angeles,Metro Planning Area,FLORENCE - FIRESTONE,Florence-Firestone Community Plan,CG,100,,,,,CG - General Commercial (0 - 50 du/net ac),0,50 du/net ac,MU,MU - Mixed Use (50 - 150 du/net ac),50,150,C-3,100,,,,,C-3 - General Commercial,MXD,MXD - Mixed Use Development,0.12027308,19,Yes,0,0,15,0,15,M,EF,"6010009005, 6010009006",5239.07421875,323.256647282332
821,6010011002,E 69th St & S Central Ave 90001,2700,Commercial,Parking Lots (Commercial Use Properties),Non-Vacant,0,0,2,South Los Angeles,Metro Planning Area,FLORENCE - FIRESTONE,Florence-Firestone Community Plan,CG,100,,,,,CG - General Commercial (0 - 50 du/net ac),0,50 du/net ac,MU,MU - Mixed Use (50 - 150 du/net ac),50,150,C-3,100,,,,,C-3 - General Commercial,MXD,MXD - Mixed Use Development,0.09249967,14,Yes,0,0,12,0,12,M,EH,"6010011002, 6010011003, 6010011004",4029.26953125,283.013692027789
822,6010011003,6908 S CENTRAL AVE LOS ANGELES CA 90001,1210,Commercial,Store Combination,Non-Vacant,4,1927,2,South Los Angeles,Metro Planning Area,FLORENCE - FIRESTONE,Florence-Firestone Community Plan,CG,100,,,,,CG - General Commercial (0 - 50 du/net ac),0,50 du/net ac,MU,MU - Mixed Use (50 - 150 du/net ac),50,150,C-3,100,,,,,C-3 - General Commercial,MXD,MXD - Mixed Use Development,0.09402149,15,Yes,0,0,9,0,9,M,EH,"6010011002, 6010011003, 6010011004",4095.5595703125,284.015239897774
823,6010011004,6916 S CENTRAL AVE LOS ANGELES CA 90001,1210,Commercial,Store Combination,Non-Vacant,3,1941,2,South Los Angeles,Metro Planning Area,FLORENCE - FIRESTONE,Florence-Firestone Community Plan,CG,100,,,,,CG - General Commercial (0 - 50 du/net ac),0,50 du/net ac,MU,MU - Mixed Use (50 - 150 du/net ac),50,150,C-3,100,,,,,C-3 - General Commercial,MXD,MXD - Mixed Use Development,0.09169325,14,Yes,0,0,9,0,9,M,EH,"6010011002, 6010011003, 6010011004",3994.1416015625,282.015582040144
824,6010011005,6920 S CENTRAL AVE LOS ANGELES CA 90001,2600,Commercial,"Auto, Recreation EQPT, Construction EQPT, Sales & Service",Non-Vacant,0,1992,2,South Los Angeles,Metro Planning Area,FLORENCE - FIRESTONE,Florence-Firestone Community Plan,CG,100,,,,,CG - General Commercial (0 - 50 du/net ac),0,50 du/net ac,MU,MU - Mixed Use (50 - 150 du/net ac),50,150,C-3,100,,,,,C-3 - General Commercial,MXD,MXD - Mixed Use Development,0.19972023,30,Yes,12,0,0,12,24,VL/AM,,,8699.7783203125,374.50406980992
825,6010013002,E 70th St & S Central Ave 90001,010V,Residential,Single,Vacant,0,0,2,South Los Angeles,Metro Planning Area,FLORENCE - FIRESTONE,Florence-Firestone Community Plan,CG,100,,,,,CG - General Commercial (0 - 50 du/net ac),0,50 du/net ac,MU,MU - Mixed Use (50 - 150 du/net ac),50,150,C-3,100,,,,,C-3 - General Commercial,MXD,MXD - Mixed Use Development,0.09607885,15,Yes,0,0,12,0,12,M,EI,"6010013002, 6010013003, 6010013004, 6010013005, 6010013006",4185.1787109375,285.772931378853
826,6010013003,E 70th St & S Central Ave 90001,010V,Residential,Single,Vacant,0,0,2,South Los Angeles,Metro Planning Area,FLORENCE - FIRESTONE,Florence-Firestone Community Plan,CG,100,,,,,CG - General Commercial (0 - 50 du/net ac),0,50 du/net ac,MU,MU - Mixed Use (50 - 150 du/net ac),50,150,C-3,100,,,,,C-3 - General Commercial,MXD,MXD - Mixed Use Development,0.09051388,14,Yes,0,0,12,0,12,M,EI,"6010013002, 6010013003, 6010013004, 6010013005, 6010013006",3942.76953125,281.00321453382
827,6010013004,E 71st St & S Central Ave 90001,010V,Residential,Single,Vacant,0,0,2,South Los Angeles,Metro Planning Area,FLORENCE - FIRESTONE,Florence-Firestone Community Plan,CG,100,,,,,CG - General Commercial (0 - 50 du/net ac),0,50 du/net ac,MU,MU - Mixed Use (50 - 150 du/net ac),50,150,C-3,100,,,,,C-3 - General Commercial,MXD,MXD - Mixed Use Development,0.09607847,15,Yes,0,0,12,0,12,M,EI,"6010013002, 6010013003, 6010013004, 6010013005, 6010013006",4185.1611328125,285.772471956973
828,6010013005,7026 S CENTRAL AVE LOS ANGELES CA 90001,1100,Commercial,Stores,Non-Vacant,0,1938,2,South Los Angeles,Metro Planning Area,FLORENCE - FIRESTONE,Florence-Firestone Community Plan,CG,100,,,,,CG - General Commercial (0 - 50 du/net ac),0,50 du/net ac,MU,MU - Mixed Use (50 - 150 du/net ac),50,150,C-3,100,,,,,C-3 - General Commercial,MXD,MXD - Mixed Use Development,0.09234123,14,Yes,0,0,12,0,12,M,EI,"6010013002, 6010013003, 6010013004, 6010013005, 6010013006",4022.3671875,282.271098608081
829,6010013006,7030 S CENTRAL AVE LOS ANGELES CA 90001,1100,Commercial,Stores,Non-Vacant,0,1960,2,South Los Angeles,Metro Planning Area,FLORENCE - FIRESTONE,Florence-Firestone Community Plan,CG,100,,,,,CG - General Commercial (0 - 50 du/net ac),0,50 du/net ac,MU,MU - Mixed Use (50 - 150 du/net ac),50,150,C-3,100,,,,,C-3 - General Commercial,MXD,MXD - Mixed Use Development,0.09268877,14,Yes,0,0,12,0,12,M,EI,"6010013002, 6010013003, 6010013004, 6010013005, 6010013006",4037.5068359375,282.262133187117
830,6010013030,7000 S CENTRAL AVE LOS ANGELES CA 90001,2600,Commercial,"Auto, Recreation EQPT, Construction EQPT, Sales & Service",Non-Vacant,1,1985,2,South Los Angeles,Metro Planning Area,FLORENCE - FIRESTONE,Florence-Firestone Community Plan,CG,100,,,,,CG - General Commercial (0 - 50 du/net ac),0,50 du/net ac,MU,MU - Mixed Use (50 - 150 du/net ac),50,150,C-3,100,,,,,C-3 - General Commercial,MXD,MXD - Mixed Use Development,0.11503846,18,Yes,0,0,14,0,14,M,,,5011.0576171875,297.415831640027
831,6010019001,6501 COMPTON AVE LOS ANGELES CA 90001,1100,Commercial,Stores,Non-Vacant,0,1976,2,South Los Angeles,Metro Planning Area,FLORENCE - FIRESTONE,Florence-Firestone Community Plan,CG,100,,,,,CG - General Commercial (0 - 50 du/net ac),0,50 du/net ac,MU,MU - Mixed Use (50 - 150 du/net ac),50,150,C-3,100,,,,,C-3 - General Commercial,MXD,MXD - Mixed Use Development,0.24493102,37,Yes,15,15,0,0,30,VL/L,EJ,"6010019001, 6010019002",10669.150390625,432.141467849764
832,6010019002,6509 COMPTON AVE LOS ANGELES CA 90001,1100,Commercial,Stores,Non-Vacant,0,2013,2,South Los Angeles,Metro Planning Area,FLORENCE - FIRESTONE,Florence-Firestone Community Plan,CG,100,,,,,CG - General Commercial (0 - 50 du/net ac),0,50 du/net ac,MU,MU - Mixed Use (50 - 150 du/net ac),50,150,C-3,100,,,,,C-3 - General Commercial,MXD,MXD - Mixed Use Development,0.19003023,29,Yes,0,0,24,0,24,M,EJ,"6010019001, 6010019002",8277.685546875,397.241552488433
833,6010019003,6525 COMPTON AVE LOS ANGELES CA 90001,3100,Industrial,Lgt Manf.Sm. EQPT. Manuf Sm.Shps Instr.Manuf. Prnt Plnts,Non-Vacant,0,1938,2,South Los Angeles,Metro Planning Area,FLORENCE - FIRESTONE,Florence-Firestone Community Plan,CG,100,,,,,CG - General Commercial (0 - 50 du/net ac),0,50 du/net ac,MU,MU - Mixed Use (50 - 150 du/net ac),50,150,C-3,100,,,,,C-3 - General Commercial,MXD,MXD - Mixed Use Development,0.330306,50,Yes,20,20,0,0,40,VL/L,,,14388.068359375,485.166423287976
834,6010020004,6623 COMPTON AVE LOS ANGELES CA 90001,0200,Residential,Two Units,Non-Vacant,2,0,2,South Los Angeles,Metro Planning Area,FLORENCE - FIRESTONE,Florence-Firestone Community Plan,CG,100,,,,,CG - General Commercial (0 - 50 du/net ac),0,50 du/net ac,MU,MU - Mixed Use (50 - 150 du/net ac),50,150,C-3,100,,,,,C-3 - General Commercial,MXD,MXD - Mixed Use Development,0.15550126,24,Yes,9,0,0,9,18,VL/AM,,,6773.607421875,377.033728289091
835,6010022001,1444 E 67TH ST LOS ANGELES CA 90001,1210,Commercial,Store Combination,Non-Vacant,1,1921,2,South Los Angeles,Metro Planning Area,FLORENCE - FIRESTONE,Florence-Firestone Community Plan,CG,100,,,,,CG - General Commercial (0 - 50 du/net ac),0,50 du/net ac,MU,MU - Mixed Use (50 - 150 du/net ac),50,150,C-3,100,,,,,C-3 - General Commercial,MXD,MXD - Mixed Use Development,0.16623077,25,Yes,10,0,0,10,20,VL/AM,,,7240.984375,385.264229872551
